review,label
"I love this product, it works great and is exactly as described",positive
"Amazing quality! Highly recommend.",positive
"Terrible service, the product broke after a day",negative
"Not worth the money. Very disappointed",negative
"Superb value and excellent performance",positive
"Awful. It arrived damaged and support was useless",negative
"Happy with purchase. Fast delivery and works perfectly",positive
"Would not buy again. Low quality",negative
"Exceeded my expectations. Five stars!",positive
"Product did not match the description. Poor build.",negative
